# VERIFIED forcing matrix — CMIP5 historical (1850–2005). Compiled from per-model research files.
# Baseline: Taylor et al. 2012 (BAMS doi:10.1175/BAMS-D-11-00094.1) standard protocol.
# Temporal codes: TV=time-varying · FXc=fixed climatology · FXk=fixed constant (value in parentheses)
#                 n/a=not applied · ?=unknown/unverified · TV+=interactive (exceeds prescribed standard)
# Verdict codes: std=follows standard protocol · dev=deviates (different dataset) · exc=exceeds standard
#                (interactive where prescribed was standard) · ?=unverified
# ESM column: documents additional forcing inputs for ESM-component models (N-dep, CO2-mode, iron dep, etc.)
model_id,G,O,SD,SI,BC,OC,MD,SS,LU,SO,VL,FC,esm_inputs,protocol_deviations
cesm1_cam5,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","?(Cionni2011-expected) ?std(no-gas-phase-chem)","TV+(Lamarque2010-emis→MAM3-prog-SO4) ✓exc","TV+(MAM3-prog-cloud-droplet-act) ✓exc","TV+(Lamarque2010-emis→MAM3-prog-BC) ✓exc","TV+(Lamarque2010-emis→MAM3-prog-POM+SOA) ✓exc","TV+(Lamarque2010-emis→MAM3-prog-dust) ✓exc","TV+(Lamarque2010-emis→MAM3-prog-seaSalt) ✓exc","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","none(AOGCM); Lamarque2010-emis-drive-MAM3","G/LU/VL=✗dev(inferred-from-NCAR-family;Gent2011;second-pass-2026-06-21); SD/SI/BC/OC/MD/SS=exc(MAM3-interactive;Liu2012+Meehl2013)"
cesm1_cam5_1_fv2,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","?(Cionni2011-expected) ?std(inferred)","TV+(Lamarque2010-emis→MAM3) ✓exc(inferred)","TV+(MAM3-indirect) ✓exc(inferred)","TV+(Lamarque2010-emis→MAM3-BC) ✓exc(inferred)","TV+(Lamarque2010-emis→MAM3-POM+SOA) ✓exc(inferred)","TV+(Lamarque2010-emis→MAM3-dust) ✓exc(inferred)","TV+(Lamarque2010-emis→MAM3-SS) ✓exc(inferred)","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std(inferred)","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","none(AOGCM; as-CESM1-CAM5-inferred)","G/LU/VL=✗dev(inferred-from-NCAR-family;second-pass-2026-06-21); SD/SI/BC/OC/MD/SS=exc(MAM3;inferred)"
cesm1_fastchem,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","~unclear(interactive-O-refuted-0-1;likely-Cionni2011-std-unconfirmed)","~unclear(Lamarque2010-emis-claim-refuted-0-1;likely-prescribed-OD-std)","~unclear(likely-n/a-if-CAM4-base)","~unclear(likely-prescribed-OD)","~unclear(likely-prescribed-OD)","?","?","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","none(AOGCM-like)","G/LU/VL=✗dev(inferred-from-NCAR-family;Gent2011;second-pass-2026-06-21); O/aerosol-still-ambiguous(O-interactive-refuted-0-1;aerosol-emis-refuted-0-1;likely-CAM4-prescribed-OD)"
cesm1_waccm,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","TV+(WACCM-MOZART-interactive-whole-atmos-chem) ✓exc","?(likely-prescribed-OD-CAM4-like;unconfirmed)","?(likely-n/a-if-CAM4-base)","?(likely-prescribed-OD-CAM4-like)","?(likely-prescribed-OD-CAM4-like)","?","?","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std(+spectrally-resolved-UV)","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","none(AOGCM); Lamarque2010-emis-drive-WACCM-MOZART-chemistry","G/LU/VL=✗dev(inferred-from-NCAR-family;Gent2011;second-pass-2026-06-21); O=exc(WACCM-interactive;Marsh2013); aerosol-cells-still-unconfirmed"
canesm2,"TV(Meinshausen2011) ✓std","TV(Cionni2011-3D-zonal-mean-prescribed) ✓std","TV+(CanAM4-prognostic-sulphate-Lamarque2010-SO2-emis) exc","TV+(1st-indirect-Nc=60SO4^0.2;2nd-excluded;vonSalzen2013-p109) exc","TV+(CanAM4-prognostic-BC-Lamarque2010-emis) exc","TV+(CanAM4-prognostic-OC-Lamarque2010+Dentener2006-SOA) exc","TV+(CanAM4-interactive-dust-Marticorena&Bergametti1995) exc","TV+(CanAM4-interactive-seaSalt-wind-speed-JASIN) exc","?(coupled-historical-LU-unconfirmed;vonSalzen2013-AMIP-GLC2000-only) ~unclear","TV(Frohlich&Lean2004-SPARC-SOLARIS-CMIP5-protocol) ✓std","TV(Sato1993-HadleyCentre-ext-zeroed-post-1999) ✓std","na","ESM(CO2=conc-driven-historical;N-dep=?;ocean-C-init=?)","G/O/SD/SI/BC/OC/MD/SS/SO/VL=confirmed(vonSalzen2013-PDF-1-0-high-conf);O=✓std(Cionni2011-3D-prescribed;no-interactive-chem;vonSalzen2013-p116);SD/SI/BC/OC/MD/SS=exc(CanAM4-prognostic-aerosol-Lamarque2010-emis;SI=1st-indirect-only;vonSalzen2013-p105-116);SO=✓std(Frohlich&Lean2004-SPARC-SOLARIS;vonSalzen2013-p116);VL=✓std(Sato1993-HadleyCentre-ext-zero-post1999;vonSalzen2013-p115);LU/N-dep/DIC-init=unconfirmed"
cancm4,"TV(Meinshausen2011) ✓std(as-CanESM2)","TV(Cionni2011-3D-prescribed) ✓std(as-CanESM2)","TV+(CanAM4-prognostic-sulphate-Lamarque2010-SO2) exc(as-CanESM2)","TV+(1st-indirect-only;2nd-excluded) exc(as-CanESM2)","TV+(CanAM4-prognostic-BC-Lamarque2010) exc(as-CanESM2)","TV+(CanAM4-prognostic-OC-Lamarque2010+Dentener2006) exc(as-CanESM2)","TV+(CanAM4-interactive-dust) exc(as-CanESM2)","TV+(CanAM4-interactive-seaSalt) exc(as-CanESM2)","?(coupled-LU-unconfirmed;as-CanESM2) ~unclear","TV(Frohlich&Lean2004-SPARC-SOLARIS) ✓std(as-CanESM2)","TV(Sato1993-HadleyCentre-ext-zeroed-1999) ✓std(as-CanESM2)","na","none(AOGCM)","all-forcings-confirmed-as-CanESM2(vonSalzen2013-same-CanAM4-atmosphere;1-0-high-conf);G/O/SD/SI/BC/OC/MD/SS/SO/VL=all-confirmed-via-CanESM2;LU=unconfirmed(same-as-CanESM2)"
bcc_csm1_1,"?","?","FXc(Collins2006-CAM3-prescribed-OD;NOT-Lamarque2010-transient) ✗dev","n/a(prescribed-OD-precludes-AIE) ✗dev","FXc(Collins2006-absorbing-component) ✗dev","FXc(Collins2006-scattering-component) ✗dev","FXc(Collins2006-dust-component) ✗dev","FXc(Collins2006-seaSalt-component) ✗dev","?","?","?","na","none(AOGCM)","aerosols-resolved(second-pass-2026-06-21):SD/BC/OC/MD/SS=✗dev(Collins2006-CAM3-prescribed-OD;BCC-AGCM2.1=CAM-framework-inherited-prescribed-OD;Wu2014-p36-confirms-CMIP5-model-uses-prescribed-not-CUACE-interactive); SI=n/a(prescribed-OD-no-cloud-interaction); G/O/LU/SO/VL=still-?-unconfirmed"
bcc_csm1_1_m,"?","?","FXc(Collins2006-CAM3-prescribed-OD;as-bcc-csm1-1) ✗dev","n/a(prescribed-OD-precludes-AIE;as-bcc-csm1-1)","FXc(Collins2006-absorbing;as-bcc-csm1-1) ✗dev","FXc(Collins2006-scattering;as-bcc-csm1-1) ✗dev","FXc(Collins2006-dust;as-bcc-csm1-1) ✗dev","FXc(Collins2006-seaSalt;as-bcc-csm1-1) ✗dev","?","?","?","na","none(AOGCM)","identical-to-bcc-csm1-1(Wu2014-p43-confirms-both-models-identically-forced); aerosols-resolved(second-pass-2026-06-21); G/O/LU/SO/VL=still-?-unconfirmed"
access1_0,"TV(Meinshausen2011) ?std","TV(Cionni2011) ✓std","TV+(CLASSIC-bulk-mass-Lamarque2010-emis;nuanced) ~std","TV+(CLASSIC-1st-indirect-cloud-albedo-sulphate+seaSalt;Martin2011-Sect3.2) ✓exc","TV+(CLASSIC-BC-Lamarque2010-emis;nuanced) ~std","TV+(CLASSIC-OC-Lamarque2010-emis;nuanced) ~std","TV+(CLASSIC-prognostic-mineral-dust-Lamarque2010-emis) ✓exc","TV+(CLASSIC-prognostic-seaSalt-Lamarque2010-emis+AIE) ✓exc","?(Hurtt2011-expected)","?(Wang2005-expected)","?(Sato-upd-expected)","na","none(AOGCM)","aerosols-resolved(second-pass-2026-06-21):CLASSIC-5-component-scheme(Martin2011-GMD4:723-757;Bellouin2011);SD/BC/OC=~std(bulk-mass-Lamarque2010-emis;nuanced);SI=exc(1st-indirect);MD/SS=exc(prognostic-from-Lamarque2010+AIE);O=✓std(Bi2013+Eyring2013;confirmed); G/LU/SO/VL=still-?-unconfirmed"
access1_3,"TV(Meinshausen2011) ?std(inferred)","TV(Cionni2011) ✓std(inferred)","TV+(CLASSIC-bulk-mass-Lamarque2010-emis;nuanced;as-ACCESS1-0) ~std","TV+(CLASSIC-1st-indirect;as-ACCESS1-0) ✓exc","TV+(CLASSIC-BC-Lamarque2010-emis;nuanced;as-ACCESS1-0) ~std","TV+(CLASSIC-OC-Lamarque2010-emis;nuanced;as-ACCESS1-0) ~std","TV+(CLASSIC-prognostic-dust;as-ACCESS1-0) ✓exc","TV+(CLASSIC-prognostic-seaSalt+AIE;as-ACCESS1-0) ✓exc","?(Hurtt2011-expected)","?(Wang2005-expected)","?(Sato-upd-expected)","na","none(AOGCM)","identical-to-ACCESS1-0(same-HadGEM2-A-atmosphere); aerosols-resolved(second-pass-2026-06-21;inferred-from-ACCESS1-0+Martin2011)"
csiro_mk3_6_0,"TV(Meinshausen2011) ?std","TV(Cionni2011) ✓std","TV+(Rotstayn2010-interactive-prog-SO4;Lamarque2010-emis) ✓exc","TV+(Rotstayn2010-1st-indirect-cloud-albedo) ✓exc","TV+(Rotstayn2010-prog-BC-hydrophobic+hydrophilic;Lamarque2010-emis) ✓exc","TV+(Rotstayn2010-prog-OC-hydrophobic+hydrophilic;Lamarque2010-emis) ✓exc","TV+(Rotstayn2010-prog-dust-4bins;online-natural) ✓exc","TV+(Rotstayn2010-prog-seaSalt;online-natural) ✓exc","n/a(explicitly-excluded) ✗dev","TV(Lean2000) ~dev","TV(Sato1993) ~dev/std?","na","none(AOGCM)","O=✓std(Cionni2011;Syktus2011-verbatim;confirmed-1-0-high-conf); SD/SI/BC/OC/MD/SS=exc(Rotstayn2010-11-tracers;Lamarque2010-emis+online-natural;confirmed-1-0-high-conf); LU=✗dev(explicitly-excluded;Syktus2011+Collier2011;confirmed-1-0-high-conf); SO=~dev(Lean2000-not-Wang2005;medium-conf;same-TSI-lineage); VL=~dev/std?(Sato1993-cited-not-updated;medium-conf;same-GISS-lineage)"
cnrm_cm5,"?std(Meinshausen2011-expected)","TV+(MOBIDIC-2D-linearized-Cariolle&Teyssedre2007) ✓exc","TV(LMDZ-INCA-offline-OD;Lamarque2010-emis-input) ✗dev","?(likely-1st-indirect-in-LMDZ-INCA-fields;unconfirmed)","TV(LMDZ-INCA-offline-OD;Lamarque2010-emis-input) ✗dev","TV(LMDZ-INCA-offline-OD;Lamarque2010-emis-input) ✗dev","FXc(pre-industrial-fixed) ✗dev","FXc(Tegen1997-rescaled;pre-industrial-fixed) ✗dev","n/a(explicitly-excluded) ✗dev","?(time-varying;specific-dataset-unconfirmed)","TV(Ammann2007-NCAR) ✗dev","na","none(AOGCM)","O=✓exc(MOBIDIC-2D-linearized-interactive;Cariolle&Teyssedre2007;Voldoire2013;confirmed-1-0-high-conf); SD/BC/OC=✗dev(LMDZ-INCA-offline-OD;Lamarque2010-emis-as-INCA-input;NOT-Lamarque2010-OD-direct;confirmed-1-0-high-conf); MD/SS=FXc-✗dev(pre-industrial-fixed;Tegen1997-rescaled;confirmed-1-0-high-conf); LU=✗dev(explicitly-excluded;confirmed-1-0-high-conf); VL=✗dev(Ammann2007-NCAR;NOT-Sato-updated;confirmed-1-0-high-conf); SO=?-unconfirmed"
cnrm_cm5_2,"?std(inferred)","?(exc-expected-MOCAGE-3D-interactive-chemistry;UNCONFIRMED)","✗dev(inferred-from-cnrm_cm5-LMDZ-INCA-offline-OD)","?(inferred)","✗dev(inferred)","✗dev(inferred)","FXc-✗dev(inferred)","FXc-✗dev(inferred)","✗dev(inferred-excluded)","?(inferred)","✗dev(inferred-Ammann2007)","na","none(AOGCM-with-interactive-chemistry)","all-inferred-from-CNRM-CM5(same-base+MOCAGE-upgrade); O=?(MOCAGE-expected-exc-but-NOT-confirmed-from-primary-source); aerosol-treatment-may-also-differ-with-MOCAGE(unconfirmed)"
ipsl_cm5a_lr,"TV(Meinshausen2011) ✓std","TV(LMDZ-OR-INCA-trop+REPROBUS-strat-merged-offline;150ppbv-contour) ✗dev","TV(LMDZ-INCA-offline-11yr-smoothed;Lamarque2010-emis-input) ✗dev","TV(1st-indirect-online-in-LMDZ-from-INCA-conc) ✗dev","TV(LMDZ-INCA-offline-11yr-smoothed) ✗dev","TV(LMDZ-INCA-offline-11yr-smoothed) ✗dev","TV(LMDZ-INCA-offline-11yr-smoothed;natural-dust) ✗dev","TV(LMDZ-INCA-offline-11yr-smoothed;natural-seaSalt) ✗dev","TV(Hurtt2011-UNH-crop+pasture-transient-historical) ✓std","TV(Wang2005+Frohlich&Lean2004) ✓std","TV(Sato1993-updated) ✓std","na","ESM(ORCHIDEE-active-C-cycle;N-dep+CO2-mode-unconfirmed)","G=✓std(Meinshausen2011;Dufresne2013-s3.5-verbatim;confirmed-1-0);LU=✓std(Hurtt2011-UNH;Dufresne2013-s3.7-verbatim;confirmed-1-0);O=✗dev(INCA-trop+REPROBUS-strat-merged-offline;NOT-Cionni2011;Szopa2013;confirmed-1-0-high-conf); aerosols=✗dev(LMDZ-INCA-offline-pre-computed-11yr-smooth;NOT-Lamarque2010-OD-direct;Szopa2013;confirmed-1-0-high-conf); SO=✓std(Wang2005+Frohlich&Lean2004;corrects-CMIP3-fixed-solar;Dufresne2013;confirmed-1-0-high-conf); VL=✓std(Sato1993-updated;corrects-CMIP3-no-volcanic;Dufresne2013;confirmed-1-0-high-conf)"
ipsl_cm5a_mr,"TV(Meinshausen2011) ✓std(as-CM5A-LR)","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(Hurtt2011-as-CM5A-LR) ✓std","TV(as-CM5A-LR) ✓std","TV(as-CM5A-LR) ✓std","na","ESM(as-CM5A-LR;resolution-differs-only)","identical-to-CM5A-LR(confirmed-Dufresne2013;resolution-2.5x1.25deg-vs-3.75x1.875deg-only);G/LU=✓std(as-CM5A-LR;Dufresne2013)"
ipsl_cm5b_lr,"TV(Meinshausen2011) ✓std(as-CM5A-LR)","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(as-CM5A-LR) ✗dev","TV(Hurtt2011-as-CM5A-LR) ✓std","TV(as-CM5A-LR) ✓std","TV(as-CM5A-LR) ✓std","na","ESM(as-CM5A-LR;LMDZ5B-physics-not-forcing)","identical-forcing-to-CM5A-LR(confirmed-Dufresne2013;LMDZ5B-physics-parameterisations-differ;forcing-protocol-unchanged);G/LU=✓std(as-CM5A-LR;Dufresne2013)"
mpi_esm_lr,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV(Kinne-MACv1-total-optical-climatology) ✗dev","n/a(no-aerosol-cloud-indirect;fixed-CDN;CMIP5-not-allowed-to-change;Stevens2013) ✗dev","TV(bundled-in-Kinne-MACv1) ✗dev","TV(bundled-in-Kinne-MACv1) ✗dev","TC(Kinne-MACv1-coarse-mode-natural-dust;year2000-background;not-interactive;Stevens2013) ✗dev","TC(Kinne-MACv1-coarse-mode-natural-seaSalt;year2000-background;not-interactive;Stevens2013) ✗dev","TV(Hurtt2011-LUH1-via-JSBACH) ✓std","TV(SPARC/SOLARIS-TIM-scaled;NOT-Wang2005;Giorgetta2013-s4.2) ✗dev","?(Stenchikov1998-basis-likely;Sato1993upd-not-explicitly-named;Stevens2013)","na","ESM(JSBACH+HAMOCC;CO2=conc-driven-confirmed;N-dep+iron-unconfirmed)","SD/BC/OC=✗dev(Kinne-MACv1-bundled;Giorgetta2013;confirmed-1-0);SI=✗dev(no-aerosol-cloud-indirect;fixed-CDN;Stevens2013-verbatim;confirmed-1-0);MD/SS=✗dev(Kinne-MACv1-coarse-mode-natural;TC;Stevens2013;confirmed-1-0);SO=✗dev(SPARC/SOLARIS-NOT-Wang2005;Giorgetta2013-s4.2-verbatim;confirmed-1-0);O=✓std(Cionni2011;Stevens2013-verbatim);G/LU=✓std;CO2=conc-driven(Giorgetta2013);VL=?(Stenchikov1998-basis;not-fully-confirmed)"
